time,P
2023-03-27 8:52:48.9650,99973.2
2023-03-27 8:52:49.9070,99972.96
2023-03-27 8:52:50.8460,99972.92
2023-03-27 8:52:51.7790,99972.92
2023-03-27 8:52:52.7260,99973.03
2023-03-27 8:52:53.6610,99973.03
2023-03-27 8:52:54.5950,99973.04
2023-03-27 8:52:55.5390,99973.04
2023-03-27 8:52:56.4770,99973.0
2023-03-27 8:52:57.4150,99972.96
2023-03-27 8:52:58.3530,99972.96
2023-03-27 8:52:59.2960,99973.04
2023-03-27 8:53:00.2280,99973.07
2023-03-27 8:53:01.1680,99973.09
2023-03-27 8:53:02.1090,99973.07
2023-03-27 8:53:03.0430,99973.01
2023-03-27 8:53:03.9850,99973.0
2023-03-27 8:53:04.9240,99973.0
2023-03-27 8:53:05.8570,99973.01
2023-03-27 8:53:06.8010,99973.08
2023-03-27 8:53:07.7570,99973.08
2023-03-27 8:53:08.6740,99973.08
2023-03-27 8:53:09.6200,99973.07
2023-03-27 8:53:10.5700,99972.94
2023-03-27 8:53:11.4930,99972.9
2023-03-27 8:53:12.4310,99972.89
2023-03-27 8:53:13.3870,99972.89
2023-03-27 8:53:14.3080,99972.89
2023-03-27 8:53:15.2470,99972.76
2023-03-27 8:53:16.2010,99972.59
2023-03-27 8:53:17.1230,99972.26
2023-03-27 8:53:18.0610,99971.86
2023-03-27 8:53:19.0110,99971.47
2023-03-27 8:53:19.9370,99971.08
2023-03-27 8:53:20.8730,99970.72
2023-03-27 8:53:21.8210,99970.51
2023-03-27 8:53:22.7530,99970.51
2023-03-27 8:53:23.6920,99970.63
2023-03-27 8:53:24.6430,99970.63
2023-03-27 8:53:25.5720,99969.67
2023-03-27 8:53:26.5080,99967.92
2023-03-27 8:53:27.4590,99965.69
2023-03-27 8:53:28.3840,99961.8
2023-03-27 8:53:29.3260,99956.85
2023-03-27 8:53:30.2720,99952.6
2023-03-27 8:53:31.1990,99948.88
2023-03-27 8:53:32.1390,99944.79
2023-03-27 8:53:33.0850,99941.47
2023-03-27 8:53:34.0150,99938.69
2023-03-27 8:53:34.9570,99935.65
2023-03-27 8:53:35.8970,99932.59
2023-03-27 8:53:36.8300,99929.91
2023-03-27 8:53:37.7720,99927.8
2023-03-27 8:53:38.7150,99926.31
2023-03-27 8:53:39.6450,99925.58
2023-03-27 8:53:40.5870,99925.16
2023-03-27 8:53:41.5320,99924.94
2023-03-27 8:53:42.4590,99924.91
2023-03-27 8:53:43.4010,99924.8
2023-03-27 8:53:44.3390,99924.61
2023-03-27 8:53:45.2740,99924.49
2023-03-27 8:53:46.2080,99924.49
2023-03-27 8:53:47.1550,99924.56
2023-03-27 8:53:48.0880,99924.8
2023-03-27 8:53:49.0250,99924.91
2023-03-27 8:53:49.9720,99925.17
2023-03-27 8:53:50.9010,99925.25
2023-03-27 8:53:51.8440,99925.25
2023-03-27 8:53:52.7880,99925.01
2023-03-27 8:53:53.7250,99924.82
2023-03-27 8:53:54.6670,99924.51
2023-03-27 8:53:55.6050,99924.15
2023-03-27 8:53:56.5490,99924.15
2023-03-27 8:54:04.9260,99927.36
2023-03-27 8:54:04.9280,99927.36
2023-03-27 8:54:04.9290,99927.36
2023-03-27 8:54:04.9340,99927.36
2023-03-27 8:54:04.9380,99927.36
2023-03-27 8:54:04.9420,99927.36
2023-03-27 8:54:04.9460,99927.36
2023-03-27 8:54:04.9820,99925.9
2023-03-27 8:54:05.0140,99927.44
2023-03-27 8:54:05.9530,99927.76
2023-03-27 8:54:06.8940,99927.76
2023-03-27 8:54:07.8320,99927.25
2023-03-27 8:54:08.7760,99926.93
2023-03-27 8:54:09.7170,99926.08
2023-03-27 8:54:10.6780,99925.07
2023-03-27 8:54:11.6100,99924.21
2023-03-27 8:54:12.5490,99924.21
2023-03-27 8:54:13.4930,99924.21
2023-03-27 8:54:14.4320,99924.12
2023-03-27 8:54:15.3720,99924.09
